Style,Stock
BL023,78
BL024,113
SET287,499
SET281,234
SET285,81
J0179,99
SET286,258
SET291,58
J0295,36
J0338,43
J0153,77
J0172,232
J0203,129
J0339,586
JNE3689,142
JNE3671,158
J0014,326
JNE3687,67
JNE3255,229
BTM033,6
AN209,67
BTM032,13
BL013,480
BL100,33
BL102,39
BL098,216
BL109,148
BL093,21
BL055,21
BL085,82
BL091,30
BL009,215
BL087,89
J0025,38
J0170,45
J0078,115
J0120,10
J0343,95
JNE3621,204
J0157,34
JNE3691,158
JNE3744,27
JNE3616,38
JNE2266,293
JNE3714,266
JNE2291,658
JNE3425,55
SET253,298
JNE3311,32
JNE3614,547
JNE3294,202
JNE3363,289
JNE3432,155
JNE2032,493
JNE3388,0
SET036,5
JNE3459,273
JNE3437,298
JNE3428,17
JNE3579,84
JNE3717,477
J0175,150
J0174,22
JNE2009,121
JNE3383,272
J0123,28
J0152,138
J0166,45
J0208,206
JNE3366,1214
JNE3501,235
JNE3522,633
JNE3642,26
SET258,45
BTM026,90
J0205,45
JNE3725,90
J0108,37
JNE3548,521
SET248,53
JNE3645,54
JNE3661,61
JNE3666,48
JNE3663,10
SET252,2260
J0346,112
BTM038,53
SET172,35
JNE3581,139
JNE3704,77
J0278,63
SET232,273
SET289,259
MEN5027,119
MEN5007,161
MEN5019,91
MEN5024,135
MEN5001,173
JNE3480,125
JNE3553,241
JNE3546,52
JNE3622,95
JNE3516,304
J0126,223
SET198,62
J0162,372
J0131,28
JNE3718,254
JNE3693,7
JNE3719,286
JNE3716,67
JNE3758,398
SET267,63
SET266,175
JNE3728,103
JNE3729,45
JNE3721,190
JNE3739,437
JNE3740,456
JNE3504,48
JNE3756,241
JNE3757,226
JNE3638,413
JNE3500,68
JNE3724,65
SET265,591
BTM003,252
AN202,79
AN205,52
JNE3449,38
JNE3565,74
JNE3507,3
JNE2101,10
JNE3624,4
J0188,14
JNE3567,261
J0091,115
JNE3644,9
JNE3641,25
JNE3648,159
JNE3415,27
J0097,181
J0144,15
J0199,28
JNE1234,387
JNE1408,3204
JNE2199,723
JNE3373,2086
JNE3404,20
JNE3463,329
JNE3537,48
MEN5023,49
SET203,256
SET242,43
J0297,35
J0190,95
J0310,96
BTM046,85
SET053,68
SET014,184
SET230,74
J0182,6
J0164,204
J0350,82
JNE3570,5
SET261,6
J0240,167
JNE2171,333
J0096,594
SET282,107
J0304,15
J0198,186
MEN5018,235
J0307,94
JNE3580,19
J0302,24
J0291,72
J0094,86
SET271,38
SET280,29
JNE3457,94
JNE3441,227
JNE3261,181
JNE3438,76
JNE3620,39
JNE3371,24
JNE3252,619
SET044,476
SET193,209
SET245,759
J0173,97
MEN5010,31
MEN5012,210
JNE3563,46
JNE2205,40
JNE2132,56
JNE2251,15
JNE2113,13
SET219,199
SET191,62
JNE3469,9
JNE3390,11
SET097,213
JNE3348,344
J0021,6
J0042,21
JNE3524,16
JNE3559,176
SET290,52
J0308,79
J0238,48
J0077,39
SET156,185
SET239,28
JNE2153,309
J0103,346
J0079,211
JNE3434,37
JNE3654,174
JNE3573,17
JNE3403,76
JNE3564,593
JNE3698,97
J0195,100
JNE3568,350
BTM039,62
JNE3742,399
JNE3368,970
SET158,424
SET138,25
SET274,36
J0008,1605
J0005,66
JNE3408,188
JNE3741,252
JNE3613,1584
SET184,62
SET247,108
SET130,362
MEN5017,33
J0292,22
BL050,70
BL011,24
JNE3427,18
J0010,172
SET279,193
BL014,72
J0136,388
J0013,95
JNE3762,418
JNE3738,515
J0183,10
MEN5020,24
SET277,211
JNE3703,271
J0306,105
MEN5002,114
SET128,371
J0145,17
JNE3636,372
SET218,65
SET246,217
J0043,20
SET202,3
JNE1951,148
JNE3400,89
SET223,63
JNE3561,106
JNE3607,1128
J0294,30
JNE3701,757
JNE3633,113
J0342,105
JNE3617,568
JNE3610,71
J0296,28
J0305,25
SET209,212
SET221,189
SET147,26
J0006,874
JNE3429,35
NW008,340
NW016,146
J0113,30
BTM048,126
BTM044,92
BTM036,96
J0100,24
J0102,158
J0002,581
J0303,3
JNE3539,16
BL092,152
BL020,53
BL107,49
BL084,11
BL078,8
BL030,13
NW030,53
NW014,225
J0333,71
JNE3784,138
JNE3707,171
JNE3631,28
JNE3618,209
JNE3766,233
JNE3767,641
SET297,25
JNE3770,202
J0372,317
JNE3384,151
J0167,126
JNE3611,348
J0347,82
JNE3488,19
JNE3472,33
J0101,86
SET316,113
J0003,90
SET328,302
SET384,406
SET303,235
J0369,137
SET386,126
JNE3791,320
J0159,63
J0293,27
J0298,22
SAR086,0
SAR079,0
SAR043,32
SAR044,87
SAR045,21
SAR046,105
SAR033,5
NW003,162
NW012,158
BL111,38
BL110,54
BL086,22
BL113,76
JNE3690,59
PJNE3440,11
PJ0096,12
JNE3769,126
J0086,1
J0252,41
JNE3510,64
BTM037,65
J0089,43
J0087,271
J0085,62
PJNE3423,9
PJNE3252,581
PJNE2014,23
PJNE3405,9
PJNE3404,15
PJNE3421,99
J0105,107
J0235,338
J0280,280
PJNE3568,34
PJNE3445,96
PJNE3439,11
PJNE2270,20
PJNE2100,14
NW020,76
NW036,144
J0112,20
J0345,131
NW027,44
PJNE2199,274
PSET264,167
PJNE3399,14
PJNE1906,71
SET351,232
SET345,563
SET334,271
SET329,80
SET326,324
SET325,55
J0248,69
J0132,28
J0334,92
JNE3376,183
JNE3764,359
J0332,92
J0225,273
SET295,26
SET305,117
SET319,108
JNE3630,188
SET321,359
JNE3765,741
SET336,21
JNE3550,3
JNE3776,112
JNE3781,259
J0184,49
J0337,134
JNE3558,6
JNE3777,221
JNE3795,1316
J0247,241
JNE1906,685
JNE3750,73
JNE3751,194
JNE3763,474
JNE3782,39
JNE3783,40
JNE3788,205
JNE3789,40
PJNE3363,19
PJNE3373,173
SET306,251
J0348,185
JNE3541,2
JNE3730,579
JNE3778,226
JNE3819,61
JNE3820,39
JNE3821,33
JNE3822,258
JNE3823,35
JNE3825,33
SET383,184
SET385,176
SET389,154
SET293,49
J0095,149
J0349,73
JNE1233,145
J0329,114
J0373,211
SET132,201
J0370,328
JNE3753,191
SET352,361
JNE3805,526
SET313,246
SET300,249
J0379,405
J0382,144
J0380,232
JNE3743,255
SET075,30
JNE3749,274
J0249,34
J0192,0
JNE3761,993
JNE3461,205
SET302,127
J0250,271
SET333,51
JNE3727,322
SET323,54
SET374,94
JNE3775,625
JNE3794,469
JNE3447,46
J0371,66
SET392,21
JNE3768,406
JNE3773,95
JNE3774,85
JNE3804,943
SET353,403
SET331,441
SET324,42
SET308,207
SET318,167
JNE3792,290
SET327,27
JNE09210,3
JNE3771,439
SAR070,62
CMB5,0
J0226,218
SET304,68
SET337,22
J0232,87
JNE3528,11
JNE3802,435
JNE3790,253
J0301,54
J0300,12
JNE3785,180
SET301,403
SAR050,1
SAR049,92
JNE3752,83
JNE3796,137
SET343,278
J0328,36
JNE3816,28
JNE3856,340
JNE3807,21
J0352,32
SET397,43
SET395,499
SET341,339
SET394,275
SET342,413
JNE3837,404
JNE3675,39
J0396,28
J0224,357
J0375,244
J0398,99
JNE3833,28
JNE3834,23
JNE3835,18
JNE3836,38
JNE3863,134
JNE3864,214
JNE3870,61
PSET268,160
SET315,373
SET317,179
SET339,140
SET347,25
SET348,226
SET349,20
SET350,331
SET355,93
SET358,51
SET373,429
SET375,126
SET378,35
SET380,27
SET405,214
SET409,585
SET413,193
JNE3398,42
J0354,277
PJNE3068,45
J0351,67
JNE3068,541
SAR031,0
JNE3726,188
J0344,1533
SAR027,2
SAR038,3
SAR103,9
SAR102,5
J0217,71
JNE3732,376
SET396,496
J0374,101
JNE3734,316
JNE3779,354
JNE3787,74
JNE3797,259
JNE3798,332
JNE3813,32
JNE3880,367
SET307,56
SET340,110
SET346,420
JNE3760,169
BTM043,36
SET224,162
JNE3736,174
JNE3793,475
J0133,30
J0073,40
J0228,110
J0251,164
J0399,76
SET320,36
SET322,58
SET344,89
SET363,70
SET393,38
J0254,106
JNE3780,670
SET332,415
JNE3861,169
SET204,36
PJNE3364,18
SET388,20
JNE3545,10
PJNE2171,32
J0401,36
J0397,143
SET311,409
SET372,372
JNE09187,34
SAR054,50
SAR101,2
SAR029,0
SAR105,13
SAR108,0
SAR110,14
SET376,328
J0395,45
SET338,104
JNE3270,129
JNE3465,104
JNE3515,65
JNE3602,732
JNE3720,1606
JNE3811,125
JNE3655,254
SET330,229
JNE3733,123
JNE3800,178
JNE3817,33
SET366,25
JNE3745,624
JNE3878,543
J0381,347
JNE3623,31
JNE3860,403
JNE3806,152
JNE3879,316
Jan-41,0
SET087,132
JNE3786,243
SET356,125
JNA8641,0
Jan-85,0
22-Jan,0
12-Jan,0
J0216,161
J0355,19
SET359,208
SET377,19
18-Jan,0
Jan-61,0
SET360,53
JNE3865,83
SET401,264
Jan-60,0
J0402,242
J0414,21
SET369,13
SET404,526
J0400,119
J0416,103
JNE3881,33
JNE3893,501
JNE3895,504
PSET058,12
JNE3799,79
SET361,18
SET299,393
SET433,507
JNE3810,350
J0340,131
JNE3855,116
SET364,44
JNE3891,528
JNE3892,497
JNE3894,157
JNE3869,20
PJNE3607,16
JNE3801,314
JNE3866,567
J0106,78
JNE3902,188
JNE3862,474
J0413,259
J0419,313
JNE3905,299
23-Jan,0
J0391,270
J0390,240
